Name	Subtype	Animation	Bubble	Voice	SpeechRate	PitchRate
Hi	1	highlight1	NA	NA		
Hi	2	highlight2	NA	NA		
Hi	3	highlight3	NA	NA		
Hi	default	highlight1	NA	NA		
kp	default	highligit_KP	bb_KP	zhitian	80	-30
kp	吐槽	KP_small	bb_comment	zhitian	80	-30
场景切换	default	NA	bb_change_bg	NA		
角色介绍	诺兰	profile_N	bb_change_bg	NA		
角色介绍	张安翔	profile_Z	bb_change_bg	NA		
角色介绍	斯托克	profile_S	bb_change_bg	NA		
拉塔斯托克	default	stock	bb_stock	stanley	30	-30
拉塔斯托克	吐槽	stock_small	bb_comment	stanley	100	-30
拉塔斯托克	电子邮件	stock	bb_mail	stanley	60	-30
诺兰	default	nuolan	bb_nuolan	aishuo	-20	-90
诺兰	吐槽	nuolan_small	bb_comment	aishuo	50	-90
诺兰	电子邮件	nuolan	bb_mail	aishuo	30	-90
搜索引擎	default	NA	bb_search	zhitian	120	-30
图例	default	NA	NA	NA		
图例	招募邮件	help_mail	NA	NA		
图例	演出海报	poster	NA	NA		
图例	地图	arkham_map	NA	NA		
图例	报纸1	newspaper1	NA	NA		
图例	星尘照片	photo_stardust	NA	NA		
张安翔	default	zhang	bb_zhang	kenny	20	50
张安翔	吐槽	zhang_small	bb_comment	kenny	100	50
张安翔	电子邮件	zhang	bb_mail	kenny	80	50
朱蒂	default	NA	bb_judi	sijia	60	-30
朱蒂	电话	NA	bb_judi	sijia	60	-30
朱蒂	电子邮件	NA	bb_mail	sijia	120	-30
